concept_id,concept_option_id,label,sort_order
c118,c118:1,Sí,1
c118,c118:8888,No sabe,8888
c118,c118:9999,No contesta,9999
c119,c119:0,No,0
c119,c119:1,Sí,1
c119,c119:8888,No sabe,8888
c119,c119:9999,No contesta,9999
c120,c120:0,No,0
c120,c120:1,Sí,1
c120,c120:8888,No sabe,8888
c120,c120:9999,No contesta,9999
c121,c121:0,No,0
c121,c121:1,Sí,1
c121,c121:8888,No sabe,8888
c121,c121:9999,No contesta,9999
c122,c122:0,No,0
c122,c122:1,Sí,1
c122,c122:8888,No sabe,8888
c122,c122:9999,No contesta,9999
c125,c125:0,No,0
c125,c125:1,Sí,1
c125,c125:8888,No sabe,8888
c125,c125:9999,No contesta,9999
c128,c128:1,Muy baja,1
c128,c128:2,Baja,2
c128,c128:3,Adecuada,3
c128,c128:4,Alta,4
c128,c128:5,Muy alta,5
c128,c128:8888,No sabe,8888
c128,c128:9999,No contesta,9999
c130,c130:0,No,0
c130,c130:1,Sí,1
c130,c130:8888,No sabe,8888
c130,c130:9999,No contesta,9999
c133,c133:0,No,0
c133,c133:1,Sí,1
c133,c133:8888,No sabe,8888
c133,c133:9999,No contesta,9999
c134,c134:0,No,0
c134,c134:1,Sí,1
c134,c134:8888,No sabe,8888
c134,c134:9999,No contesta,9999
c135,c135:0,No,0
c135,c135:1,Sí,1
c135,c135:8888,No sabe,8888
c135,c135:9999,No contesta,9999
c136,c136:0,No,0
c136,c136:1,Sí,1
c136,c136:8888,No sabe,8888
c136,c136:9999,No contesta,9999
c137,c137:0,No,0
c137,c137:1,Sí,1
c137,c137:8888,No sabe,8888
c137,c137:9999,No contesta,9999
c139,c139:0,No,0
c139,c139:1,Sí,1
c139,c139:8888,No sabe,8888
c139,c139:9999,No contesta,9999
c141,c141:1,1,1
c141,c141:2,2,2
c141,c141:3,3,3
c141,c141:4,4,4
c141,c141:5,5,5
c141,c141:6,6,6
c141,c141:7,7,7
c141,c141:8,8,8
c141,c141:9,9,9
c141,c141:10,10,10
c141,c141:8888,No sabe,8888
c141,c141:9999,No contesta,9999
c142,c142:1,"Transporte público: no hay rutas, son de mala calidad, el tiempo de espera es elevado.",1
