respondent_id,is_initial_respondent,nombre,factor_cvnl,city_id
188_4,False,,258.2655334,9
189_1,True,,963.3539429,31
189_2,False,,963.3539429,31
189_3,False,,963.3539429,31
190_1,True,,962.1404419,46
190_2,False,,962.1404419,46
191_1,True,,777.2303467,18
191_2,False,,777.2303467,18
191_3,False,,777.2303467,18
191_4,False,,777.2303467,18
192_1,True,,110.7352905,49
193_1,True,,659.7180786,10
193_2,False,,659.7180786,10
193_3,False,,659.7180786,10
193_4,False,,659.7180786,10
194_1,True,,301.1954041,19
194_2,False,,301.1954041,19
194_3,False,,301.1954041,19
194_4,False,,301.1954041,19
195_1,True,,691.5112915,10
196_1,True,,1013.601074,21
196_2,False,,1013.601074,21
196_3,False,,1013.601074,21
196_4,False,,1013.601074,21
196_5,False,,1013.601074,21
196_6,False,,1013.601074,21
196_7,False,,1013.601074,21
197_1,True,,110.7352905,49
197_2,False,,110.7352905,49
197_3,False,,110.7352905,49
198_1,True,,777.2303467,18
198_2,False,,777.2303467,18
198_3,False,,777.2303467,18
198_4,False,,777.2303467,18
199_1,True,,1483.921753,26
199_2,False,,1483.921753,26
199_3,False,,1483.921753,26
200_1,True,,106.0568237,49
200_2,False,,106.0568237,49
200_3,False,,106.0568237,49
200_4,False,,106.0568237,49
201_1,True,,659.7180786,45
201_2,False,,659.7180786,45
201_3,False,,659.7180786,45
201_4,False,,659.7180786,45
202_1,True,,337.8926697,19
202_2,False,,337.8926697,19
202_3,False,,337.8926697,19
202_4,False,,337.8926697,19
202_5,False,,337.8926697,19
203_1,True,,666.6879883,47
203_2,False,,666.6879883,47
203_3,False,,666.6879883,47
203_4,False,,666.6879883,47
204_1,True,,679.5336914,48
204_2,False,,679.5336914,48
204_3,False,,679.5336914,48
204_4,False,,679.5336914,48
204_5,False,,679.5336914,48
205_1,True,,663.3157959,38
206_1,True,,1407.310669,6
206_2,False,,1407.310669,6
206_3,False,,1407.310669,6
207_1,True,,106.0568237,49
207_2,False,,106.0568237,49
207_3,False,,106.0568237,49
208_1,True,,110.7352905,49
208_2,False,,110.7352905,49
208_3,False,,110.7352905,49
209_1,True,,675.8522949,48
209_2,False,,675.8522949,48
210_1,True,,679.5336914,48
210_2,False,,679.5336914,48
210_3,False,,679.5336914,48
210_4,False,,679.5336914,48
210_5,False,,679.5336914,48
211_1,True,,679.5336914,48
211_2,False,,679.5336914,48
211_3,False,,679.5336914,48
212_1,True,,1013.601074,21
212_2,False,,1013.601074,21
212_3,False,,1013.601074,21
212_4,False,,1013.601074,21
212_5,False,,1013.601074,21
212_6,False,,1013.601074,21
213_1,True,,679.5336914,48
213_2,False,,679.5336914,48
213_3,False,,679.5336914,48
213_4,False,,679.5336914,48
214_1,True,,675.8522949,48
214_2,False,,675.8522949,48
214_3,False,,675.8522949,48
214_4,False,,675.8522949,48
215_1,True,,659.7180786,12
215_2,False,,659.7180786,12
215_3,False,,659.7180786,12
215_4,False,,659.7180786,12
216_1,True,,777.2303467,18
216_2,False,,777.2303467,18
216_3,False,,777.2303467,18
216_4,False,,777.2303467,18
216_5,False,,777.2303467,18
217_1,True,,675.8522949,48
217_2,False,,675.8522949,48
218_1,True,,659.7180786,12
218_2,False,,659.7180786,12
218_3,False,,659.7180786,12
218_4,False,,659.7180786,12
